Season,ETD Week,ETA Week,ETA,Transport,Specie,Variety,Importer,Exporter,Arrival port,Vessel,Boxes
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Black Heart,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,924
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Blue Gusto,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,81
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,471
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Friar,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,322
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Nubiana,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,99
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Pink Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,1167
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Black Heart,Dayka Hackett Llc,Geofrut Ltda.,Filadelfia,Maersk Bulan,952
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Dapple Delight,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Maersk Bulan,136
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Pink Delight,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Maersk Bulan,784
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Black Heart,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,714
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Blue Gusto,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,86
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Dapple Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,696
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Nubiana,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,256
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Pink Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bulan,1056
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,King Red,Walmart Stores Inc.,Tuniche Fruits,Savannah,Maersk Bulan,2560
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Leticia,Walmart Stores Inc.,Verfrut Spa,Savannah,Maersk Bulan,1037
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Pink Delight,Walmart Stores Inc.,Verfrut Spa,Savannah,Maersk Bulan,1523
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,A La Orden,C Y D S.a.,Los Angeles,Ivar Reefer,827
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Diamond,A La Orden,C Y D S.a.,Los Angeles,Ivar Reefer,344
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Delight,A La Orden,C Y D S.a.,Los Angeles,Ivar Reefer,568
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortuna,A La Orden,C Y D S.a.,Los Angeles,Ivar Reefer,170
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Red Phoenix,A La Orden,C Y D S.a.,Los Angeles,Ivar Reefer,1391
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Blue Giant,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,59
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,3161
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,511
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Purple Heart,A La Orden,Gesex S.a.,Los Angeles,Ivar Reefer,398
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Los Angeles,Ivar Reefer,896
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,A La Orden,Lo Garces Spa,Los Angeles,Ivar Reefer,896
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Larry Ann,A La Orden,Lo Garces Spa,Los Angeles,Ivar Reefer,768
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Ivar Reefer,6024
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Black Diamond,Bengard Marketing,Exp.santa Marta,Los Angeles,Ivar Reefer,1032
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Friar,Bengard Marketing,Exp.santa Marta,Los Angeles,Ivar Reefer,1272
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Bengard Marketing,Greenvic,Los Angeles,Ivar Reefer,208
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Flavor Rich,Bengard Marketing,Monte Alto,Los Angeles,Ivar Reefer,680
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Bengard Marketing,Monte Alto,Los Angeles,Ivar Reefer,4568
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Candy Red,Bengard Marketing,Prize S.a.,Los Angeles,Ivar Reefer,2688
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,Bengard Marketing,Soc.c & L Frut,Los Angeles,Ivar Reefer,200
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Red Phoenix,Bengard Marketing,Soc.c & L Frut,Los Angeles,Ivar Reefer,200
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Sweet Pixie,Bengard Marketing,Tuniche Fruits,Los Angeles,Ivar Reefer,104
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,Colima Walmart,Soc.c & L Frut,Los Angeles,Ivar Reefer,879
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Colima Walmart,Soc.c & L Frut,Los Angeles,Ivar Reefer,1681
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Los Angeles,Ivar Reefer,2880
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Los Angeles,Ivar Reefer,600
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Ivar Reefer,170
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Honey Punch,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Ivar Reefer,85
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Ci 336,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ivar Reefer,15
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ivar Reefer,420
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Larry Ann,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ivar Reefer,180
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Leticia,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ivar Reefer,178
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Pink Delight,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ivar Reefer,407
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Nubiana,Jac Vandenberg Inc.,Geofrut Ltda.,Los Angeles,Ivar Reefer,600
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Candy Red,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,660
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,882
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Diamond,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,344
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Dandy,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,1834
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Delight,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,5542
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Red Phoenix,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,1611
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Giant Phoenic,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ivar Reefer,772
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Ivar Reefer,384
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Ivar Reefer,133
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Ivar Reefer,83
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Flavor Rich,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ivar Reefer,300
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ivar Reefer,648
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Larry Ann,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ivar Reefer,256
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Leticia,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ivar Reefer,120
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Pacific Trellis Fruit,Olivar Export S,Los Angeles,Ivar Reefer,360
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Crimson Dawn,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Ivar Reefer,178
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Ivar Reefer,242
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Lemon,Rio Vista Ventures Llc,Exportafresh Sp,Los Angeles,Ivar Reefer,5890
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Sierra Produce,C Y D S.a.,Los Angeles,Ivar Reefer,2012
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Giant Phoenic,Sierra Produce,C Y D S.a.,Los Angeles,Ivar Reefer,592
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Black Diamond,Sierra Produce,Exp.santa Marta,Los Angeles,Ivar Reefer,928
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Fortune,Sierra Produce,Exp.santa Marta,Los Angeles,Ivar Reefer,1058
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Friar,Sierra Produce,Exp.santa Marta,Los Angeles,Ivar Reefer,584
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Happy Giant,Summit Produce Inc,Soc.c & L Frut,Los Angeles,Ivar Reefer,60
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Dapple Delight,Walmart Stores Inc.,C Y D S.a.,Los Angeles,Ivar Reefer,7680
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Candy Stripe,Walmart Stores Inc.,Prize S.a.,Los Angeles,Ivar Reefer,2560
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Ci 336,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Ivar Reefer,594
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Leticia,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Ivar Reefer,1796
2023-2024,6-2024,8-2024,21-02-2024,CHARTER,Plum,Pink Delight,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Ivar Reefer,2730
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Gloucester,Cool Royal,1680
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Happy Giant,A La Orden,Gesex S.a.,Gloucester,Cool Royal,881
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Larry Ann,A La Orden,Gesex S.a.,Gloucester,Cool Royal,1191
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Purple Heart,A La Orden,Gesex S.a.,Gloucester,Cool Royal,88
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Red Phoenix,Capespan North America Llc,C Y D S.a.,Gloucester,Cool Royal,750
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Gloucester,Cool Royal,7024
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Cool Royal,1080
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Happy Giant,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Cool Royal,23
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Nubiana,David Oppenheimer Inc.,Geofrut Ltda.,Gloucester,Cool Royal,97
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Dapple Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Gloucester,Cool Royal,753
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Nubiana,Jac Vandenberg Inc.,Geofrut Ltda.,Gloucester,Cool Royal,447
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Happy Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Cool Royal,1666
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Larry Ann,Kopke Jr.inc. William H.,Greenvic,Gloucester,Cool Royal,662
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Happy Giant,Pacific Trellis Fruit,David Del Curto,Gloucester,Cool Royal,1183
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Lemon,Pacific Trellis Fruit,David Del Curto,Gloucester,Cool Royal,4214
2023-2024,6-2024,8-2024,22-02-2024,CHARTER,Plum,Sugar Plums,Seasons Farm Fresh,Chile Terra Spa,Gloucester,Cool Royal,2400
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Flavor Rich,A La Orden,Agricom Ltda.,Filadelfia,Msc Aino,1160
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,A La Orden,Agricom Ltda.,Filadelfia,Msc Aino,1432
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,A La Orden,David Del Curto,Filadelfia,Msc Aino,796
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,A La Orden,David Del Curto,Filadelfia,Msc Aino,704
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Blue Gusto,A La Orden,Gesex S.a.,Filadelfia,Cma Cgm Neva,360
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Filadelfia,Msc Aino,66
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Filadelfia,Cma Cgm Neva,92
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,A La Orden,Gesex S.a.,Filadelfia,Msc Aino,689
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,A La Orden,Gesex S.a.,Filadelfia,Cma Cgm Neva,85
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,A La Orden,Gesex S.a.,Filadelfia,Msc Aino,1645
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,A La Orden,Gesex S.a.,Filadelfia,Cma Cgm Neva,423
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,A La Orden,Lo Garces Spa,Filadelfia,Msc Aino,120
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Filadelfia,Msc Aino,744
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Los Angeles,Msc Aino,310
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,A La Orden,Lo Garces Spa,Los Angeles,Msc Aino,341
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,A La Orden,Lo Garces Spa,Filadelfia,Msc Aino,1268
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,A La Orden,Lo Garces Spa,Los Angeles,Msc Aino,293
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,A La Orden,Lo Garces Spa,Los Angeles,Msc Aino,456
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Msc Aino,1349
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Bengard Marketing,Greenvic,Los Angeles,Msc Aino,220
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Late Rosa,Bengard Marketing,Greenvic,Los Angeles,Msc Aino,1180
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Blue Gusto,Colima Walmart,Soc.c & L Frut,Savannah,Msc Aino,1280
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Colima Walmart,Soc.c & L Frut,Savannah,Msc Aino,512
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,David Oppenheimer Inc.,Delipack S.a.,Wilmington D.,Msc Aino,896
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Heart,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,1128
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,120
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,280
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,232
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Aino,2158
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Friar,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Aino,672
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Aino,1040
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Summer Breeze,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Aino,2648
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,David Oppenheimer Inc.,Monte Alto,Filadelfia,Msc Aino,2520
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,David Oppenheimer Inc.,Monte Alto,Filadelfia,Msc Aino,136
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Ci 336,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Cma Cgm Neva,136
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Cma Cgm Neva,680
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Dayka Hackett Llc,Geofrut Ltda.,Filadelfia,Msc Aino,52
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,Dayka Hackett Llc,Geofrut Ltda.,Filadelfia,Msc Aino,356
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Majestic,Dayka Hackett Llc,Tuniche Fruits,Filadelfia,Msc Aino,550
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Summer Breeze,Dayka Hackett Llc,Tuniche Fruits,Filadelfia,Msc Aino,3905
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Ci 336,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Aino,94
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Aino,42
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Leticia,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Aino,510
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Aino,552
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Fru-veg Marketing Inc.,Triofrut Ltda.,Filadelfia,Msc Aino,2080
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Heart,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Aino,1193
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Aino,5
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Aino,291
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Aino,711
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Heart,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,632
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,272
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,828
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Pink Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Aino,4
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Delight,Kingsburg Orchards,C Y D S.a.,Los Angeles,Msc Aino,4569
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Red Phoenix,Kingsburg Orchards,C Y D S.a.,Los Angeles,Msc Aino,1100
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Giant Phoenic,Kingsburg Orchards,C Y D S.a.,Los Angeles,Msc Aino,1120
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cma Cgm Neva,514
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Late Rosa,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Aino,1312
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Late Rosa,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cma Cgm Neva,1558
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Heart,Kopke Jr.inc. William H.,Prize S.a.,Filadelfia,Msc Aino,120
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,Kopke Jr.inc. William H.,Prize S.a.,Filadelfia,Msc Aino,2432
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Aino,796
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Aino,704
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Pacific Trellis Fruit,Delipack S.a.,Wilmington D.,Msc Aino,1408
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Flavor Rich,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cma Cgm Neva,648
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cma Cgm Neva,920
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cma Cgm Neva,920
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Sweet Lady,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Aino,1190
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Sweet Lady,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cma Cgm Neva,85
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Sweet Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Aino,510
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,Pacific Trellis Fruit,Prize S.a.,Filadelfia,Msc Aino,7552
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Pacific Trellis Fruit,Triofrut Ltda.,Filadelfia,Msc Aino,2080
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Crimson Dawn,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Msc Aino,22
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Aino,158
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Msc Aino,120
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Larry Ann,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Aino,408
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Late Rosa,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Aino,934
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Late Rosa,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Msc Aino,458
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Blue Gusto,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Cma Cgm Neva,720
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Crimson Dawn,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Cma Cgm Neva,98
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Happy Giant,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Cma Cgm Neva,1183
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Baby Sweet I,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Cma Cgm Neva,282
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Black Heart,Tastyfrutti International Inc.,Prize S.a.,Filadelfia,Msc Aino,25
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Dapple Dandy,Tastyfrutti International Inc.,Prize S.a.,Filadelfia,Msc Aino,2304
2023-2024,6-2024,8-2024,22-02-2024,LINER,Plum,Flavor Heart,Tastyfrutti International Inc.,Prize S.a.,Filadelfia,Msc Aino,231
